,serie,geracao,temporada,Primeiro eps,Ultimo eps,Regiao
0,Original,Primeira,Liga indigo,"Pokémon, Eu Escolho Você!",,1
1, ,,Aventuras na ilha da laranja,Susto no Ar,,2
2, , Segunda,A jornada Jotho,Com o Totodile Não se Brinca,57,3
3, ,,Campeoes da liga Jotho,Uma Oportunidade Dourada,,4
4, ,,Master Quest,Enrolados nos Redemoinhos,,5
5,Avançada,Terceira ,POkemon avancado,Tudo Começa na Estrada!,Com Carga Total,6
6, , ,Desafio avancado ,Você Colhe O Que Semeia , Dia do Julgamento, 
7, , ,Batalha avancada , O Clampearl da Sabedoria, Pasta la Vista, 
8, , , Batalha de fronteira,Fator do Falso Medo ,O Lar é o Início de Tudo! , 
9,Diamante e perola ,Quarta , Diamente e perola, , , 
10,,,Batalha dimensional, , , 
11,, ,Batalhas Galacticas , , , 
12, , ,Vencedores da liga sinoh , , , 
13,Preto e Branco ,Quinta , Preto e Branco, , , 
14, , ,  Destinos Rivais, , , 
15, , , Aventuras em Unova, , , 
16,XY ,Sexta ,A serie xy , , , 
17, , ,Karlos Quest , , , 
18, , ,XY e Z , , , 
19,Soon and Moon ,Setima , Sun and Moon, , , 
